input_dim,hidden_dim,n_layers,dropout,output_dim,batch_size,lr,epochs,patience,rnn_type,batches_per_epoch,path,dataset,context_length,prediction_length,freq,seasonality,error,conts,pearson,noise,covariates,seed,train_loss,valid_loss,elapsed_time,mse,mae,mape,smape,abs_error,mase,rmse,run_time
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,8,1H,8,0.0,"['y_lead_1', 'y_lead_2', 'y_lead_3']",1.0,0,3,42,0.0936779677867889,0.4112947285175323,0.8604525830596685,1.464613676071167,0.6268558502197266,inf,0.0657419264316558,4322.7978515625,0.155002936720848,0.9473005533218384,71.22210291703232
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,8,1H,8,0.6,['y_lead_1'],0.519786682090601,0,1,42,2.2744505405426025,2.4020564556121826,0.9876520840916784,2.171328544616699,0.901426374912262,inf,0.0945137366652488,6216.236328125,0.2174560874700546,1.1200505495071411,56.432505917036906
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,8,1H,8,0.2571428571428571,['y_lead_1'],0.8173705894712557,0,1,42,0.9936661124229432,1.186076045036316,0.974252959014848,2.1623177528381348,0.906221330165863,inf,0.094803437590599,6249.3017578125,0.2186127752065658,1.1179436445236206,49.91479566600174
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,8,1H,8,0.0,[],0.0,0,0,46,0.3158372640609741,0.6529790759086609,1.135214125039056,4.164730072021484,1.1873539686203003,inf,0.1318660825490951,8187.9931640625,0.2877150177955627,1.609178066253662,45.386064833030105
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,2,1H,8,0.5142857142857142,"['y_lead_1', 'y_lead_2']",0.5787754959386153,0,2,42,2.497962951660156,2.6262757778167725,0.97874170797877,0.9093547463417052,0.6183422207832336,0.0684240460395813,0.0650220662355423,1066.02197265625,0.1559804677963256,0.678471028804779,46.25780087499879
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,2,1H,8,0.1714285714285714,"['y_lead_1', 'y_lead_2']",0.9050352330593034,0,2,42,0.7842803001403809,0.9758814573287964,0.9428099170327188,0.6182412505149841,0.5512672662734985,0.0598932653665542,0.0582841672003269,950.384765625,0.1390604078769683,0.6118126511573792,105.99303174996749
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,8,1H,8,0.3428571428571428,"['y_lead_1', 'y_lead_2']",0.7287625793743431,0,2,42,1.6214349269866943,1.7683016061782837,1.04652141709812,2.004983425140381,0.8758018612861633,inf,0.0915508419275283,6039.52978515625,0.2138775140047073,1.094501495361328,66.60481741605327
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,3,1H,8,0.0857142857142857,"['y_lead_1', 'y_lead_2', 'y_lead_3']",0.9734762891368408,0,3,42,0.3874141871929168,0.6231535077095032,0.913156250026077,0.273601770401001,0.3814387619495392,0.0404120087623596,0.0397466085851192,986.4005737304688,0.0963702499866485,0.441271424293518,95.02554237516595
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,8,1H,8,0.0857142857142857,"['y_lead_1', 'y_lead_2']",0.9734762891368408,0,2,42,0.3924385607242584,0.6473307609558105,0.9529645829461516,1.7946135997772217,0.8175888061523438,inf,0.08554208278656,5638.091796875,0.1996614336967468,1.0451396703720093,59.12027929117903
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,3,1H,8,0.3428571428571428,"['y_lead_1', 'y_lead_2', 'y_lead_3']",0.7287625793743431,0,3,42,1.8038383722305296,1.929296374320984,0.9301637921016664,0.8673891425132751,0.6368762850761414,0.0701447203755378,0.066689558327198,1646.9619140625,0.1609063744544983,0.7178341746330261,51.83534733299166
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,1,1H,8,0.0,[],0.0,0,0,42,,,,0.9298789501190186,0.6114678382873535,0.0629628524184227,0.0626617148518562,527.0853271484375,0.1457026004791259,0.6114678382873535,0.0423762081190943
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,1,1H,8,0.5142857142857142,['y_lead_1'],0.5787754959386153,0,1,42,1.9536889791488647,2.081438541412353,0.989385207882151,0.8865915536880493,0.6269452571868896,0.0738977789878845,0.0683768540620803,540.4267578125,0.1629795730113983,0.6269452571868896,57.47729520802386
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,8,1H,8,0.5142857142857142,"['y_lead_1', 'y_lead_2', 'y_lead_3']",0.5787754959386153,0,3,42,2.767547845840454,2.85937762260437,0.9334983341395856,2.018781900405884,0.8967884182929993,inf,0.094144083559513,6184.25244140625,0.2217492759227752,1.1280895471572876,52.01381608401425
