input_dim,hidden_dim,n_layers,dropout,output_dim,batch_size,lr,epochs,patience,rnn_type,batches_per_epoch,path,dataset,context_length,prediction_length,freq,seasonality,error,conts,pearson,noise,covariates,seed,train_loss,valid_loss,elapsed_time,mse,mae,mape,smape,abs_error,mase,rmse,run_time
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,505,1,1H,24,0.2357142857142857,['y_lead_1'],0.9725757776063404,0,1,42,2.7570743560791016,483.5830383300781,13.664232249837369,1271981.5,192.27500915527344,inf,0.1491930335760116,61720.28125,0.0910314694046974,192.27500915527344,1268.7656280421652
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,505,3,1H,24,0.0,"['y_lead_1', 'y_lead_2', 'y_lead_3']",0.999999999999639,0,3,42,0.5718872547149658,682.130126953125,15.715198707999662,145227.296875,77.60101318359375,inf,0.091438241302967,74729.78125,0.0321702323853969,84.89537048339844,1513.2975216670893
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,505,168,1H,24,1.65,['y_lead_1'],0.5155699714169586,0,1,42,15.484054565429688,2341.3671875,13.502689250046387,3249598.5,300.6624755859375,inf,0.2199465781450271,16214126.0,0.113493800163269,487.8902893066406,959.861339374911
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,505,1,1H,24,0.9428571428571428,['y_lead_1'],0.723871674827299,0,1,42,9.09610652923584,1385.119140625,13.425961459055545,5444372.0,353.7435607910156,inf,0.2039460092782974,113551.6875,0.1674777865409851,353.7435607910156,899.7102008329239
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,505,2,1H,24,0.2357142857142857,"['y_lead_1', 'y_lead_2']",0.9725757776063404,0,2,42,3.412738561630249,529.7084350585938,14.56106762494892,4042646.25,296.1493530273437,inf,0.1743382662534713,190127.890625,0.1288582980632782,307.18560791015625,1137.8510096250102
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,505,2,1H,24,0.4714285714285714,"['y_lead_1', 'y_lead_2']",0.9023272720696456,0,2,42,6.044734954833984,982.2610473632812,14.212461167015135,2349656.0,208.46044921875,inf,0.1467074155807495,133831.609375,0.0907037630677223,219.3412170410156,1429.0818789999466
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,505,1,1H,24,0.0,['y_lead_1'],0.999999999999639,0,1,42,0.6587465405464172,199.7433013916016,13.607198540819809,36814.79296875,39.40718460083008,inf,0.057892806828022,12649.7060546875,0.0186570975929498,39.40718460083008,1270.922480000183
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,505,168,1H,24,1.414285714285714,['y_lead_1'],0.5740921195762649,0,1,42,13.110020637512209,2103.84765625,16.5401167080272,3308843.75,304.47625732421875,inf,0.22235669195652,16419796.0,0.1149334236979484,491.8886413574219,878.9441634158138
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,505,168,1H,24,0.0,[],0.0,0,0,45,1.0859204530715942,386.60986328125,17.092945750104263,2911139.5,283.93310546875,inf,0.21466726064682,15311945.0,0.1072380393743515,461.4137573242188,775.1328422499355
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,505,168,1H,24,0.4714285714285714,"['y_lead_1', 'y_lead_2', 'y_lead_3']",0.9023272720696456,0,3,42,6.862878322601318,1031.193359375,14.761686540907249,3744070.25,318.882568359375,inf,0.2251966148614883,17196700.0,0.1201823875308036,509.1355590820313,883.4589812920894
