input_dim,hidden_dim,n_layers,dropout,output_dim,batch_size,lr,epochs,patience,rnn_type,path,dataset,context_length,prediction_length,freq,seasonality,error,conts,pearson,noise,covariates,seed,train_loss,valid_loss,elapsed_time,mse,mae,mape,smape,abs_error,mase,rmse,run_time
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,30,1,1H,24,0.2357142857142857,['y_lead_1'],0.9725757776063404,0,1,42,1.2094886302947998,632.272216796875,29.061663249973208,1110335.25,165.51918029785156,inf,0.1291602253913879,53131.65625,0.078364074230194,165.51918029785156,1576.3570814169943
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,30,3,1H,24,0.0,"['y_lead_1', 'y_lead_2', 'y_lead_3']",0.999999999999639,0,3,42,0.2607032656669616,729.8635864257812,26.119573207804933,231320.25,56.97911071777344,inf,0.0547934956848621,54870.88671875,0.0236212257295846,64.602294921875,1782.212221374968
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,30,168,1H,24,1.65,['y_lead_1'],0.5155699714169586,0,1,42,5.838305950164795,2706.175048828125,28.989512874977663,4901217.5,538.556396484375,inf,0.3661912083625793,29043272.0,0.2032938003540039,666.0816650390625,1012.586439833045
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,30,1,1H,24,0.9428571428571428,['y_lead_1'],0.723871674827299,0,1,42,3.4786934852600098,1588.72216796875,28.978641416877508,5826351.5,416.0076293945313,inf,0.2531425952911377,133538.46875,0.196956381201744,416.0076293945313,1045.7624441250227
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,30,2,1H,24,0.2357142857142857,"['y_lead_1', 'y_lead_2']",0.9725757776063404,0,2,42,1.384614109992981,705.7896118164062,28.93317862506956,972249.125,169.95130920410156,inf,0.1403510123491287,109108.734375,0.0739479437470436,187.75656127929688,1428.0641158330254
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,30,2,1H,24,0.4714285714285714,"['y_lead_1', 'y_lead_2']",0.9023272720696456,0,2,42,2.3633086681365967,1148.2923583984375,29.670437457971275,4239940.5,304.92254638671875,inf,0.1772692501544952,195760.265625,0.1326756328344345,322.4463195800781,1298.080252249958
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,30,1,1H,24,0.0,['y_lead_1'],0.999999999999639,0,1,42,0.3756583333015442,687.4767456054688,29.148067709058523,98231.4453125,40.9690055847168,inf,0.0544071570038795,13151.05078125,0.0193965323269367,40.9690055847168,1454.1212910420727
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,30,168,1H,24,1.414285714285714,['y_lead_1'],0.5740921195762649,0,1,42,5.045069694519043,2235.62890625,27.48759220796637,5557649.0,486.015625,inf,0.3586558401584625,26209852.0,0.1834607571363449,634.5011596679688,956.6813900419512
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,30,168,1H,24,0.0,[],0.0,0,0,45,0.5565269589424133,695.079345703125,25.86583812511526,7169532.5,558.4183959960938,inf,0.3541298806667328,30114382.0,0.2109077125787735,700.8265991210938,1056.8338929999154
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,30,168,1H,24,0.4714285714285714,"['y_lead_1', 'y_lead_2', 'y_lead_3']",0.9023272720696456,0,3,42,2.733686685562134,1229.6690673828125,29.55966345919296,5907083.0,502.7790222167969,inf,0.3339096903800964,27113868.0,0.1894903779029846,657.585693359375,1275.8234756670429
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,30,2,1H,24,1.414285714285714,"['y_lead_1', 'y_lead_2']",0.5740921195762649,0,2,42,6.791771411895752,2825.750732421875,27.056116041960195,1511714.375,213.44854736328125,inf,0.1469426900148391,137033.984375,0.0928741544485092,228.3428497314453,2275.604194124928
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,30,168,1H,24,0.0,[],0.0,0,0,46,0.5837352275848389,765.5396118164062,26.032285165973008,9537848.0,574.017822265625,inf,0.357470840215683,30955636.0,0.2167994976043701,735.2824096679688,1654.535172709031
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,30,3,1H,24,0.7071428571428571,"['y_lead_1', 'y_lead_2', 'y_lead_3']",0.8131887100854838,0,3,42,4.059815406799316,1668.6646728515625,28.05189283308573,1809674.125,341.16778564453125,inf,0.2393157333135604,328544.5625,0.141434296965599,367.1817932128906,1079.9102721668314
