input_dim,hidden_dim,n_layers,dropout,output_dim,batch_size,lr,epochs,patience,rnn_type,batches_per_epoch,path,dataset,context_length,prediction_length,freq,seasonality,error,conts,pearson,noise,covariates,seed,train_loss,valid_loss,elapsed_time,mse,mae,mape,smape,abs_error,mase,rmse,run_time
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/hospital_dataset.tsf,hospital,37,1,M,12,0.9428571428571428,['y_lead_1'],0.7149685223597495,0,1,42,109.41520690917967,119.65847778320312,0.4693922090809792,3103.365966796875,18.26199150085449,0.1755417585372924,0.1588878333568573,14006.9482421875,0.0399336293339729,18.26199150085449,19.253772750031203
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/hospital_dataset.tsf,hospital,37,12,M,12,0.0,[],0.0,0,0,42,15.96510124206543,23.98303985595703,0.4605294161010533,3322.76220703125,19.899734497070312,0.1939596235752105,0.1813078820705413,183157.15625,0.0435691513121128,23.976016998291016,48.390107166953385
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/hospital_dataset.tsf,hospital,37,3,M,12,0.2357142857142857,"['y_lead_1', 'y_lead_2', 'y_lead_3']",0.9722271780071448,0,3,42,46.12469100952149,52.70176315307617,0.432233165949583,3564.30029296875,17.58271026611328,0.1571059077978134,0.1421321481466293,40457.81640625,0.0389330759644508,19.96929359436035,18.494061374804005
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/hospital_dataset.tsf,hospital,37,1,M,12,0.0,[],0.0,0,0,42,,,,2177.133544921875,17.303804397583008,0.1911501735448837,0.1747536808252334,13272.01953125,0.0376940295100212,17.303804397583008,0.0250241248868405
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/hospital_dataset.tsf,hospital,37,12,M,12,1.414285714285714,"['y_lead_1', 'y_lead_2', 'y_lead_3']",0.559285166914886,0,3,42,205.9270782470703,253.6671142578125,0.4508719998411834,6385.9306640625,24.58792304992676,0.2213457524776458,0.1864673048257827,226307.28125,0.053596694022417,29.138023376464844,17.020535666961223
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/hospital_dataset.tsf,hospital,37,2,M,12,0.9428571428571428,"['y_lead_1', 'y_lead_2']",0.7149685223597495,0,2,42,135.8976593017578,153.44508361816406,0.4087849999777972,2771.819091796875,17.99626350402832,0.1815365850925445,0.162328153848648,27606.26953125,0.0399097055196762,19.447681427001957,15.950592000037432
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/hospital_dataset.tsf,hospital,37,12,M,12,0.2357142857142857,['y_lead_1'],0.9722271780071448,0,1,42,37.32381439208984,43.31394958496094,0.453636874910444,4061.5458984375,20.89764976501465,0.1943680495023727,0.1770911812782287,192341.96875,0.0455989241600036,25.35261344909668,20.061060292180628
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/hospital_dataset.tsf,hospital,37,12,M,12,1.1785714285714286,"['y_lead_1', 'y_lead_2']",0.6312224330507136,0,2,42,154.2699737548828,188.10040283203125,0.4576203748583793,5274.1826171875,22.79103279113769,0.2137567102909088,0.1830079108476638,209768.671875,0.0496479347348213,27.296321868896484,17.53599233319983
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/hospital_dataset.tsf,hospital,37,12,M,12,0.4714285714285714,"['y_lead_1', 'y_lead_2', 'y_lead_3']",0.900141445631198,0,3,42,82.06316375732422,88.79476928710938,0.4100549169816077,5168.013671875,22.96337890625,0.2101314812898636,0.1806513369083404,211354.953125,0.0500555150210857,27.512569427490234,17.40638295887038
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/hospital_dataset.tsf,hospital,37,12,M,12,0.9428571428571428,['y_lead_1'],0.7149685223597495,0,1,42,109.41520690917967,119.65847778320312,0.427754791919142,5756.0849609375,23.14078712463379,0.2151545286178589,0.1836870908737182,212987.8125,0.0504934787750244,27.815427780151367,18.615044582867995
